ItemCode,ItemName,ManufacturerName,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,ItemPrice,UnitOfMeasurePrice,NormalizedName,מחלקה
7290016682373,מיץ לימונדה בלדי 2 ל,לא ידוע,מיץ לימונדה בלדי 2 ל,ליטרים,2.0,ליטר,19.9,9.95,מיץ לימונדה בלדי,לבדיקה ידנית
7290108509298,גבינת גאודה מעושנת פ,לא ידוע,גבינת גאודה מעושנת פ,גרמים,150.0,100 גרם,12.1,0.0807,גבינת גאודה מעושנת,לבדיקה ידנית
8033267620362,יין לבן חצי יבש גליל,לא ידוע,יין לבן חצי יבש גליל,מיליליטרים,750.0,"100 מ""ל",35.3,0.0471,יין לבן חצי יבש גליל,לבדיקה ידנית
7290018989456,ג'ינגר קפוא בריאבוע,לא ידוע,ג'ינגר קפוא בריאבוע,גרמים,145.0,100 גרם,11.1,0.0766,ינגר קפוא בריאבוע,לבדיקה ידנית
8718951236806,קולגייט טוטאל הלבנה,לא ידוע,קולגייט טוטאל הלבנה,מיליליטרים,100.0,"100 מ""ל",16.9,0.169,קולגייט טוטאל הלבנה,לבדיקה ידנית
4022025002100,בלו מבעבע רוזה כשר,לא ידוע,בלו מבעבע רוזה כשר,מיליליטרים,750.0,"100 מ""ל",49.9,0.0665,בלו מבעבע רוזה כשר,לבדיקה ידנית
7290017752709,אטריות אורז דקות 454,לא ידוע,אטריות אורז דקות 454,גרמים,454.0,100 גרם,10.7,0.0236,אטריות אורז דקות 454,לבדיקה ידנית
7290006764072,גולדסטאר חוזר 500 בק,טמפו,גולדסטאר חוזר 500 בקבוק 2,מיליליטרים,500.0,"100 מ""ל",7.6,0.0152,גולדסטאר חוזר 500,לבדיקה ידנית
7290008464130,"גולדסטאר לא מסונן ח""",טמפו,"גולדסטאר לא מסונן ח""פ 330",ליטרים,1.98,ליטר,34.9,17.6263,גולדסטאר מסונן,לבדיקה ידנית
7290008464468,גולדסטאר 500 פחית,טמפו,גולדסטאר 500 פחית 24 יח',מיליליטרים,500.0,"100 מ""ל",7.7,0.0154,גולדסטאר 500 פחית,לבדיקה ידנית
7290008464475,מכבי 500 פחית,טמפו,מכבי 500 פחית 24 יח',מיליליטרים,500.0,"100 מ""ל",6.7,0.0134,מכבי 500 פחית,לבדיקה ידנית
7290008464604,היינקן הולנד 500 פחי,טמפו,היינקן הולנד 500 פחית 24,מיליליטרים,500.0,"100 מ""ל",11.9,0.0238,היינקן הולנד 500 פחי,לבדיקה ידנית
7290000005999,שקיות מכונה,לא ידוע,שקיות מכונה,יח',1.0,יח',0.1,0.1,שקיות מכונה,לבדיקה ידנית
7290008464741,בירה גולדסטאר שישייה,טמפו,"גולדסטאר ח""פ 330 בקבוק שי",ליטרים,1.98,ליטר,34.3,17.3232,בירה גולדסטאר שישייה,לבדיקה ידנית
7290112190420,פופקורן קראמל 70ג רמ,לא ידוע,פופקורן קראמל 70ג רמ,גרמים,70.0,100 גרם,4.0,0.0571,פופקורן קראמל,לבדיקה ידנית
7290018677612,אטריות ראמן אורז מלא,לא ידוע,אטריות ראמן אורז מלא,יח',1.0,יח',12.7,12.7,אטריות ראמן אורז מלא,לבדיקה ידנית
3600524021900,אלביב דרים לונג מסכה,לא ידוע,אלביב דרים לונג מסכה,מטרים,630.0,100 מ'ל,50.5,0.0802,אלביב דרים לונג מסכה,לבדיקה ידנית
3838824414454,פאלטה קולור קרם בלונ,לא ידוע,פאלטה קולור קרם בלונ,יח',1.0,יח',20.0,20.0,פאלטה קולור קרם בלונ,לבדיקה ידנית
7290111097546,מגבוני קוויק לניקוי,לא ידוע,מגבוני קוויק לניקוי,יח',1.0,יח',8.0,8.0,מגבוני קוויק לניקוי,לבדיקה ידנית
7290018677629,אטריות ראמן אורז מלא,לא ידוע,אטריות ראמן אורז מלא,יח',1.0,יח',12.7,12.7,אטריות ראמן אורז מלא,לבדיקה ידנית
8717163655764,רקסונה דאודורנט ספרי,לא ידוע,רקסונה דאודורנט ספרי,מיליליטרים,150.0,"100 מ""ל",13.9,0.0927,רקסונה דאודורנט ספרי,לבדיקה ידנית
7290108359008,סושי שקיות זיפר עם ס,לא ידוע,סושי שקיות זיפר עם ס,יח',1.0,יח',13.9,13.9,סושי שקיות זיפר,לבדיקה ידנית
7290112968821,פיטנס קרקר דק בטטה 1,לא ידוע,פיטנס קרקר דק בטטה 1,גרמים,140.0,100 גרם,10.9,0.0779,פיטנס קרקר בטטה,לבדיקה ידנית
7290111097836,מגבוני קוויק דוחה אב,לא ידוע,מגבוני קוויק דוחה אב,יח',1.0,יח',8.0,8.0,מגבוני קוויק דוחה,לבדיקה ידנית
7290115201475,לביבות כרישה 434 גר,לא ידוע,לביבות כרישה 434 גר,גרמים,434.0,100 גרם,34.9,0.0804,לביבות כרישה 434,לבדיקה ידנית
7290116057101,מזלג 10 יח' שחור זהב,לא ידוע,מזלג 10 יח' שחור זהב,יח',1.0,יח',9.9,9.9,מזלג שחור זהב,לבדיקה ידנית
7290017023816,ספרינג פירות טרופיים,לא ידוע,ספרינג פירות טרופיים,ליטרים,1.0,ליטר,12.5,12.5,ספרינג פירות טרופיים,לבדיקה ידנית
7290019153252,סודה בטעם תפוח שוופס,לא ידוע,סודה בטעם תפוח שוופס,ליטרים,6.0,ליטר,12.4,2.0667,סודה תפוח שוופס,לבדיקה ידנית
7290112349750,רוטב עגבניות לפיצה 3,לא ידוע,רוטב עגבניות לפיצה 3,גרמים,350.0,100 גרם,10.8,0.0309,רוטב עגבניות לפיצה,לבדיקה ידנית
7290017752716,אטריות אורז רחבות 45,לא ידוע,אטריות אורז רחבות 45,גרמים,454.0,100 גרם,10.7,0.0236,אטריות אורז רחבות,לבדיקה ידנית
7290018249000,סוויטאנגו פודינג וני,לא ידוע,סוויטאנגו פודינג וני,גרמים,400.0,100 גרם,47.4,0.1185,סוויטאנגו פודינג וני,לבדיקה ידנית
7290012191015,מצת למטבח,לא ידוע,מצת למטבח,יח',1.0,יח',9.0,9.0,מצת למטבח,לבדיקה ידנית
7290019056676,משקה קל אשכולית אננס,לא ידוע,משקה קל אשכולית אננס,ליטרים,1.5,ליטר,7.2,4.8,משקה אשכולית אננס,לבדיקה ידנית
7290110328764,יופלה יוגורט גו קרמי,לא ידוע,יופלה יוגורט גו קרמי,מיליליטרים,200.0,"100 מ""ל",6.0,0.03,יופלה יוגורט קרמי,לבדיקה ידנית
7290017266619,וופל קראנץ טעם אגוז,לא ידוע,וופל קראנץ טעם אגוז,גרמים,150.0,100 גרם,3.0,0.02,וופל קראנץ טעם אגוז,לבדיקה ידנית
8717163655825,רקסונה דאודורנט ספרי,לא ידוע,רקסונה דאודורנט ספרי,מיליליטרים,150.0,"100 מ""ל",13.9,0.0927,רקסונה דאודורנט ספרי,לבדיקה ידנית
7290110327033,משקה סויה GO במתיקות,לא ידוע,משקה סויה GO במתיקות,יח',1.0,יח',12.2,12.2,משקה סויה go במתיקות,לבדיקה ידנית
7290018249444,סוויטאנגו שוקו 400 ג,לא ידוע,סוויטאנגו שוקו 400 ג,גרמים,400.0,100 גרם,39.3,0.0982,סוויטאנגו שוקו,לבדיקה ידנית
7290114310406,מולר ויפ יוגורט מוקצ,לא ידוע,מולר ויפ יוגורט מוקצ,מיליליטרים,150.0,"100 מ""ל",5.2,0.0347,מולר ויפ יוגורט מוקצ,לבדיקה ידנית
